transaction_id,client_name,account_number,phone,amount,currency,transaction_date,transaction_type,country,status
TXN001,TCHOYI ABRAHAM WILSON,10092345001,699123456,150000,XAF,2026-03-01,credit,CM,traite
TXN002,NGONO MARIE CLAIRE,10092345002,677889900,-50000,XAF,01/03/2026,debit,CM,traite
TXN003,KAMGA JEAN PAUL,10092345003,690112233,7500000,XAF,2026-03-02,credit,CM,suspect
TXN004,FOTSO PIERRE,10092345004,655443322,25000,XAF,2026-03-02,debit,CM,traite
TXN005,ABENA SANDRINE,10092345005,699001122,,XAF,2026-03-03,credit,CM,traite
TXN006,MBARGA YANNICK,10092345006,678123456,42000,XAF,2026-03-03,debit,CM,traite
TXN007,TCHOYI ABRAHAM WILSON,10092345001,699123456,150000,XAF,2026-03-01,credit,CM,traite
TXN008,DJOMO ALICE,10092345008,691234567,98000,XAF,2026-03-04,credit,CM,traite
TXN009,NKOMO PAUL,10092345009,672345678,-12000,XAF,2026-03-04,debit,CM,traite
TXN010,ESSOMBA CLARISSE,10092345010,699887766,12500000,XAF,2026-03-05,credit,CM,suspect
TXN011,BELLO IBRAHIM,10092345011,655112233,67000,XAF,2026-03-05,debit,CM,traite
TXN012,NANA GRACE,10092345012,690998877,33000,XAF,2026-03-06,credit,CM,traite
TXN013,FOTSO PIERRE,10092345004,655443322,25000,XAF,2026-03-02,debit,CM,traite
TXN014,OWONA SERGE,10092345014,678998877,88000,XAF,2026-03-07,credit,CM,traite
TXN015,MEKA DANIELLE,10092345015,699556677,,XAF,2026-03-07,debit,CM,traite
